epoch  ,loss                ,training_accuracy   ,testing_accuracy
   1.0 ,0.730509877204895   ,0.47962962962962963 ,0.49907407407407406
   2.0 ,0.7176070809364319  ,0.4925925925925926  ,0.49907407407407406
   3.0 ,0.7141461372375488  ,0.5                 ,0.5018518518518519
   4.0 ,0.7127121090888977  ,0.5148148148148148  ,0.5166666666666667
   5.0 ,0.6995059847831726  ,0.5481481481481482  ,0.5268518518518519
   6.0 ,0.6978809833526611  ,0.5296296296296297  ,0.5231481481481481
   7.0 ,0.7024616003036499  ,0.5259259259259259  ,0.5453703703703704
   8.0 ,0.6968250274658203  ,0.5194444444444445  ,0.5527777777777778
   9.0 ,0.6950943470001221  ,0.5305555555555556  ,0.5564814814814815
  10.0 ,0.6918141841888428  ,0.5425925925925926  ,0.55
  11.0 ,0.6855724453926086  ,0.5416666666666666  ,0.549074074074074
  12.0 ,0.6818074584007263  ,0.5611111111111111  ,0.5564814814814815
  13.0 ,0.6848565340042114  ,0.5564814814814815  ,0.5648148148148148
  14.0 ,0.6852679252624512  ,0.5518518518518518  ,0.5722222222222222
  15.0 ,0.680219829082489   ,0.575               ,0.5777777777777777
  16.0 ,0.6744602918624878  ,0.5916666666666667  ,0.5768518518518518
  17.0 ,0.665680468082428   ,0.5824074074074074  ,0.5824074074074074
  18.0 ,0.6721817255020142  ,0.5675925925925925  ,0.5944444444444444
  19.0 ,0.6625200510025024  ,0.5787037037037037  ,0.6018518518518519
  20.0 ,0.6729347109794617  ,0.5814814814814815  ,0.6111111111111112
  21.0 ,0.6618196368217468  ,0.5907407407407408  ,0.6166666666666667
  22.0 ,0.6615199446678162  ,0.612037037037037   ,0.6277777777777778
  23.0 ,0.6574134826660156  ,0.5990740740740741  ,0.6342592592592593
  24.0 ,0.6504794955253601  ,0.6305555555555555  ,0.6296296296296297
  25.0 ,0.6531375646591187  ,0.6037037037037037  ,0.637962962962963
  26.0 ,0.6458267569541931  ,0.6268518518518519  ,0.6425925925925926
  27.0 ,0.6440936326980591  ,0.6212962962962963  ,0.6453703703703704
  28.0 ,0.6418902277946472  ,0.637962962962963   ,0.6453703703703704
  29.0 ,0.6412365436553955  ,0.6370370370370371  ,0.65
  30.0 ,0.6423304677009583  ,0.6185185185185185  ,0.65
  31.0 ,0.6394429206848145  ,0.6240740740740741  ,0.6527777777777778
  32.0 ,0.6402556300163269  ,0.65                ,0.6583333333333333
  33.0 ,0.6272887587547302  ,0.6574074074074074  ,0.6592592592592592
  34.0 ,0.6308849453926086  ,0.6453703703703704  ,0.6638888888888889
