epoch,loss,training_accuracy,testing_accuracy
1.0,0.8270401954650879,0.524074074074074,0.5027777777777778
2.0,0.8156886100769043,0.48333333333333334,0.49722222222222223
3.0,0.8375595808029175,0.49444444444444446,0.5055555555555555
4.0,0.7918570637702942,0.5138888888888888,0.5046296296296297
5.0,0.7911768555641174,0.5111111111111111,0.5138888888888888
6.0,0.7789109349250793,0.49166666666666664,0.5092592592592593
7.0,0.8091546893119812,0.49444444444444446,0.5111111111111111
8.0,0.7806602120399475,0.5120370370370371,0.5185185185185185
9.0,0.7676774859428406,0.5092592592592593,0.525
10.0,0.7641106247901917,0.5194444444444445,0.5435185185185185
11.0,0.7741397619247437,0.5231481481481481,0.5462962962962963
12.0,0.7808446884155273,0.49444444444444446,0.5574074074074075
13.0,0.7457433342933655,0.5435185185185185,0.5527777777777778
14.0,0.7678074240684509,0.5268518518518519,0.5416666666666666
15.0,0.7688966393470764,0.512962962962963,0.5305555555555556
16.0,0.7378203868865967,0.5462962962962963,0.5259259259259259
17.0,0.7595152854919434,0.5259259259259259,0.5287037037037037
18.0,0.7522398233413696,0.5324074074074074,0.5416666666666666
19.0,0.7772420048713684,0.5212962962962963,0.5601851851851852
20.0,0.7503293752670288,0.5185185185185185,0.575925925925926
21.0,0.7417585253715515,0.5416666666666666,0.5888888888888889
22.0,0.761641800403595,0.5388888888888889,0.5907407407407408
23.0,0.7588406205177307,0.5342592592592592,0.587037037037037
24.0,0.7603864073753357,0.5314814814814814,0.5777777777777777
25.0,0.7403916716575623,0.5212962962962963,0.5685185185185185
26.0,0.7434086203575134,0.5462962962962963,0.5574074074074075
27.0,0.7463145852088928,0.5361111111111111,0.5601851851851852
28.0,0.7483062744140625,0.5435185185185185,0.5685185185185185
29.0,0.7282564640045166,0.5564814814814815,0.5805555555555556
30.0,0.7304221391677856,0.5555555555555556,0.5944444444444444
31.0,0.7234410047531128,0.5555555555555556,0.6055555555555555
32.0,0.7375898361206055,0.5398148148148149,0.612037037037037
33.0,0.7449477314949036,0.5361111111111111,0.6037037037037037
34.0,0.7243636250495911,0.5555555555555556,0.5953703703703703
35.0,0.7325524687767029,0.5518518518518518,0.5833333333333334
36.0,0.7276577949523926,0.5472222222222223,0.5796296296296296
37.0,0.6945415139198303,0.5842592592592593,0.5731481481481482
38.0,0.7227203249931335,0.5638888888888889,0.575
39.0,0.7277134656906128,0.5537037037037037,0.5851851851851851
40.0,0.7336461544036865,0.5388888888888889,0.5972222222222222
41.0,0.7091590762138367,0.5768518518518518,0.6111111111111112
42.0,0.7120366096496582,0.5740740740740741,0.6296296296296297
43.0,0.7069274187088013,0.5537037037037037,0.6277777777777778
44.0,0.7049450278282166,0.5592592592592592,0.6111111111111112
45.0,0.7043922543525696,0.5657407407407408,0.6018518518518519
46.0,0.7069813013076782,0.575925925925926,0.6027777777777777
47.0,0.7077316045761108,0.562037037037037,0.6037037037037037
48.0,0.7049728035926819,0.5787037037037037,0.6027777777777777
49.0,0.7189831733703613,0.5611111111111111,0.6148148148148148
50.0,0.7014716267585754,0.5666666666666667,0.6287037037037037
51.0,0.6868066787719727,0.587037037037037,0.6259259259259259
52.0,0.701403796672821,0.5666666666666667,0.6277777777777778
53.0,0.6986982822418213,0.5657407407407408,0.6287037037037037
54.0,0.6707245111465454,0.6055555555555555,0.6324074074074074
55.0,0.6834865808486938,0.5768518518518518,0.6287037037037037
56.0,0.6907158493995667,0.5787037037037037,0.6324074074074074
57.0,0.6881048679351807,0.5777777777777777,0.6351851851851852
58.0,0.6949989795684814,0.5722222222222222,0.637962962962963
59.0,0.6944024562835693,0.575925925925926,0.6425925925925926
60.0,0.6652504205703735,0.6018518518518519,0.6509259259259259
61.0,0.6700009107589722,0.6129629629629629,0.6546296296296297
62.0,0.6755646467208862,0.5953703703703703,0.6518518518518519
63.0,0.6823434233665466,0.5888888888888889,0.65
