episode ,mean     ,max
   1000 , 12758.9 , 52440
   2000 , 19565.1 , 60712
   3000 , 25709.8 , 73960
   4000 , 30076.7 , 78996
   5000 , 35282.5 , 81156
   6000 , 36401.9 ,100548
   7000 , 38112.8 , 82688
   8000 , 40233.9 ,113980
   9000 , 41752.9 ,113464
  10000 , 45213.7 ,132812
  11000 , 48307   ,132220
  12000 , 52832.7 ,132752
  13000 , 55868.2 ,126584
  14000 , 59344.8 ,134732
  15000 , 60048.4 ,146544
  16000 , 62492.3 ,157544
  17000 , 62320.7 ,133664
  18000 , 62318.8 ,149060
  19000 , 63943.4 ,151456
  20000 , 65270.7 ,148828
  21000 , 65631.6 ,173920
  22000 , 66975.3 ,156892
  23000 , 67139.1 ,149904
  24000 , 67803.6 ,155292
  25000 , 67045   ,155924
  26000 , 68689.9 ,153088
  27000 , 68919   ,162632
  28000 , 68875   ,153760
  29000 , 69091.2 ,155644
  30000 , 69807.7 ,175016
  31000 , 70511.8 ,160392
  32000 , 70589.2 ,157056
  33000 , 69253.3 ,158520
  34000 , 71270.5 ,164412
  35000 , 71264   ,168764
  36000 , 71953   ,164196
  37000 , 71829.6 ,168788
  38000 , 71449.4 ,156740
  39000 , 71952.9 ,157180
  40000 , 73879.1 ,175996
  41000 , 72474.9 ,176568
  42000 , 72751.7 ,168056
  43000 , 73732.1 ,175160
  44000 , 73844.8 ,164356
  45000 , 73593.9 ,157248
  46000 , 72637.7 ,157200
  47000 , 74883.7 ,177008
  48000 , 74846.4 ,159428
  49000 , 75292.8 ,164328
  50000 , 73856.1 ,168528
  51000 , 74546.6 ,168296
  52000 , 74047.9 ,174772
  53000 , 76515.5 ,168436
  54000 , 76888.7 ,168656
  55000 , 73539.6 ,168016
  56000 , 74641.5 ,172920
  57000 , 75815.7 ,159132
  58000 , 76996.7 ,172556
  59000 , 76220.8 ,177364
  60000 , 76734   ,168540
  61000 , 77595.4 ,172356
  62000 , 76992   ,168176
  63000 , 77091   ,171688
  64000 , 77398.7 ,169540
  65000 , 77079.2 ,168292
  66000 , 77762.2 ,155572
  67000 , 78144.5 ,177908
  68000 , 76945.8 ,165584
  69000 , 79068.8 ,168316
  70000 , 78852.3 ,167200
  71000 , 78892.2 ,166500
  72000 , 79304.8 ,170048
  73000 , 80546   ,168504
  74000 , 79470.9 ,172436
  75000 , 79960.7 ,174816
  76000 , 80016.7 ,166356
  77000 , 80305.3 ,176548
  78000 , 78534.8 ,168456
  79000 , 80400   ,161480
  80000 , 79433.2 ,168032
  81000 , 81389.9 ,168852
  82000 , 81056.7 ,173040
  83000 , 83019.5 ,170972
  84000 , 81796.9 ,169236
  85000 , 83357.1 ,171936
  86000 , 85769.1 ,177724
  87000 , 84779.5 ,244092
  88000 , 85617.9 ,171960
  89000 , 85892.6 ,166548
  90000 , 87788.6 ,171716
  91000 , 87911.8 ,170072
  92000 , 87228.2 ,178276
  93000 , 86934.7 ,172740
  94000 , 86688.5 ,176616
  95000 , 87544.8 ,173304
  96000 , 87146.5 ,172816
  97000 , 87373.4 ,172860
  98000 , 88702.6 ,176880
  99000 , 89911.2 ,173064
 100000 , 91119   ,175448
 101000 , 88075.9 ,167584
 102000 , 90375.2 ,176572
 103000 , 91506.5 ,176316
 104000 , 92684.5 ,172192
 105000 , 91285.6 ,176168
 106000 , 92540.9 ,176912
 107000 , 91078.1 ,174872
 108000 , 91497.7 ,173272
 109000 , 95490.6 ,173264
 110000 , 92724.5 ,176576
 111000 , 96252.6 ,169924
 112000 , 98335.9 ,176840
 113000 , 94593.3 ,175712
 114000 , 96267.4 ,178772
 115000 , 95496.5 ,186856
 116000 , 95409.6 ,175444
 117000 , 95336   ,172240
 118000 , 96441.5 ,171816
 119000 , 96484.5 ,172640
 120000 , 99074.8 ,173552
 121000 , 97614.5 ,173320
 122000 , 99369.2 ,175588
 123000 ,101122   ,175064
 124000 , 98757.8 ,177272
 125000 ,100987   ,176076
 126000 , 99142.6 ,174464
 127000 , 99677.1 ,173080
 128000 ,100274   ,177600
 129000 ,102183   ,175192
 130000 ,100972   ,174176
 131000 ,100209   ,175528
 132000 ,101992   ,175324
 133000 ,104081   ,172676
 134000 ,101733   ,177656
 135000 ,102005   ,173384
 136000 ,102738   ,173100
 137000 ,104465   ,175344
 138000 ,103617   ,175884
 139000 ,105972   ,176660
 140000 ,104141   ,173512
 141000 ,102654   ,176260
 142000 ,104911   ,176508
 143000 ,102757   ,176648
 144000 ,103359   ,174724
 145000 ,103496   ,175648
 146000 ,102739   ,268000
 147000 ,103145   ,173196
 148000 ,103015   ,175236
 149000 ,105941   ,175228
 150000 ,101360   ,175348
 151000 ,103746   ,174852
 152000 ,101912   ,176668
 153000 ,102709   ,177348
 154000 ,102139   ,174924
 155000 ,101953   ,244192
 156000 ,104040   ,175380
 157000 ,100116   ,171508
 158000 ,102575   ,177140
 159000 ,100324   ,175012
 160000 ,101704   ,247108
 161000 ,100335   ,174760
 162000 ,100647   ,177356
 163000 ,102632   ,174780
 164000 ,102364   ,175568
 165000 ,102995   ,177160
 166000 ,107088   ,176692
 167000 ,105243   ,177956
 168000 ,102472   ,176508
 169000 ,106222   ,226316
 170000 ,106831   ,177360
 171000 ,107336   ,173404
 172000 ,108278   ,176576
 173000 ,107769   ,177272
 174000 ,106313   ,175276
 175000 ,107106   ,174564
 176000 ,108716   ,177172
 177000 ,107989   ,234828
 178000 ,106772   ,176616
 179000 ,109174   ,231092
 180000 ,105499   ,177352
 181000 ,109024   ,177236
 182000 ,108711   ,176668
 183000 ,109359   ,234156
 184000 ,108189   ,175452
 185000 ,106995   ,177408
 186000 ,108464   ,175864
 187000 ,108900   ,176168
 188000 ,108664   ,176840
 189000 ,109257   ,176976
 190000 ,110408   ,177364
 191000 ,111500   ,260068
 192000 ,111472   ,237212
 193000 ,109818   ,176480
 194000 ,112259   ,179664
 195000 ,109788   ,251608
 196000 ,109416   ,176976
 197000 ,111810   ,239532
 198000 ,111230   ,212908
 199000 ,111941   ,175116
 200000 ,115323   ,177180
