episode ,mean     ,max
   1000 , 12827   , 44448
   2000 , 20383   , 73256
   3000 , 25693.3 , 77876
   4000 , 30668.5 , 80588
   5000 , 33294.7 , 81044
   6000 , 36501.8 , 81344
   7000 , 38771.5 , 80332
   8000 , 41219.6 , 81460
   9000 , 41623.4 , 86912
  10000 , 41639.8 ,132356
  11000 , 42863.4 ,129628
  12000 , 47573.2 ,123612
  13000 , 49596.5 ,128316
  14000 , 53790.2 ,132588
  15000 , 56098.2 ,133272
  16000 , 58256   ,142084
  17000 , 59427.8 ,135796
  18000 , 62292.5 ,150612
  19000 , 62669.2 ,144336
  20000 , 64062.9 ,159448
  21000 , 65721   ,156860
  22000 , 63837.5 ,143876
  23000 , 66380.6 ,140820
  24000 , 67208.5 ,172812
  25000 , 68097   ,157596
  26000 , 68274.3 ,142800
  27000 , 67725.1 ,157276
  28000 , 69379   ,144640
  29000 , 68157   ,157392
  30000 , 69615   ,155452
  31000 , 69518.8 ,157128
  32000 , 70500.7 ,153460
  33000 , 70204.9 ,156888
  34000 , 70466.7 ,155404
  35000 , 70881.6 ,163640
  36000 , 70846.8 ,169080
  37000 , 71352   ,176544
  38000 , 72272.1 ,175192
  39000 , 72432.5 ,158016
  40000 , 72945.4 ,167640
  41000 , 72877.3 ,171684
  42000 , 71621.8 ,164288
  43000 , 72253.3 ,175624
  44000 , 73848.3 ,161516
  45000 , 73562.8 ,161252
  46000 , 72684.5 ,168280
  47000 , 73285.7 ,161268
  48000 , 73832.4 ,174592
  49000 , 74918   ,167084
  50000 , 73721.1 ,166480
  51000 , 74566.6 ,165936
  52000 , 74885.5 ,164276
  53000 , 72532.3 ,167544
  54000 , 75223.1 ,173420
  55000 , 73470.5 ,164376
  56000 , 75610.4 ,172476
  57000 , 74637   ,163500
  58000 , 76102.1 ,166460
  59000 , 75715.6 ,168124
  60000 , 74726.2 ,161420
  61000 , 76192   ,157368
  62000 , 76094.1 ,172344
  63000 , 75771.7 ,168108
  64000 , 75294.3 ,166488
  65000 , 77484.2 ,168988
  66000 , 76366.3 ,172444
  67000 , 77651.3 ,171240
  68000 , 78164.7 ,177232
  69000 , 76397.6 ,173084
  70000 , 76310.3 ,172924
  71000 , 77601.6 ,171656
  72000 , 78656.3 ,173224
  73000 , 78177.1 ,176296
  74000 , 76971.9 ,157264
  75000 , 77916   ,167628
  76000 , 79235.3 ,166000
  77000 , 79099.2 ,168260
  78000 , 78931.5 ,169280
  79000 , 78208.9 ,180952
  80000 , 79044.7 ,169164
  81000 , 78792.2 ,173132
