episode ,mean     ,max
   1000 , 12818   , 37200
   2000 , 19078.4 , 59592
   3000 , 24937.8 , 78912
   4000 , 29389.2 , 80640
   5000 , 32590.7 , 80872
   6000 , 35112.5 , 79428
   7000 , 36484.5 , 83740
   8000 , 37838.7 , 81428
   9000 , 39592.4 , 98340
  10000 , 41224.6 , 87452
  11000 , 44107.8 ,122020
  12000 , 46269.4 ,105604
  13000 , 50571.8 ,130832
  14000 , 53949.1 ,127840
  15000 , 56223.8 ,131632
  16000 , 56592.3 ,132996
  17000 , 58474.8 ,131880
  18000 , 60514.8 ,132800
  19000 , 61414.4 ,155352
  20000 , 62399.8 ,153028
  21000 , 63106.5 ,155628
  22000 , 62742.3 ,132756
  23000 , 63693.3 ,153652
  24000 , 62782.7 ,164268
  25000 , 65174.6 ,136652
  26000 , 64159   ,157212
  27000 , 65212.3 ,168024
  28000 , 65383.4 ,142012
  29000 , 66332.9 ,149928
  30000 , 65545.9 ,154680
  31000 , 64596.4 ,152988
  32000 , 66137.5 ,156348
  33000 , 66109.1 ,156848
  34000 , 66096.1 ,157212
  35000 , 68124.7 ,154840
  36000 , 67554.1 ,151932
  37000 , 66719.6 ,149632
  38000 , 66160.1 ,153976
  39000 , 66477.7 ,164444
  40000 , 67296   ,157900
  41000 , 67556.9 ,152744
  42000 , 66740.9 ,158608
  43000 , 66918.4 ,156992
  44000 , 68994.8 ,158872
  45000 , 68802.3 ,164364
  46000 , 68662.2 ,155144
  47000 , 68342.9 ,168868
  48000 , 69233.2 ,155524
  49000 , 67944.1 ,168092
  50000 , 68718.1 ,157152
  51000 , 68716.8 ,165908
  52000 , 68232   ,158676
  53000 , 69841.7 ,163724
  54000 , 68923.1 ,158300
  55000 , 71212.4 ,157420
  56000 , 69496.3 ,156748
  57000 , 71142   ,157292
  58000 , 70740.2 ,166376
  59000 , 69402.8 ,157764
  60000 , 71516.1 ,163192
  61000 , 70847   ,157988
  62000 , 69230.9 ,157196
  63000 , 71227   ,166320
  64000 , 71349.6 ,163972
  65000 , 70437   ,164460
  66000 , 70906.9 ,166592
  67000 , 71502.2 ,171020
  68000 , 70215.3 ,168956
  69000 , 71336.9 ,162360
  70000 , 69640.1 ,165860
  71000 , 71121.1 ,170168
  72000 , 70280.2 ,167340
  73000 , 71711.2 ,169932
  74000 , 71278.8 ,168104
  75000 , 70892.7 ,166572
  76000 , 70263.6 ,155312
  77000 , 71185.9 ,173016
  78000 , 70542.3 ,168340
  79000 , 70101.7 ,168464
  80000 , 70704   ,162180
  81000 , 69835.2 ,165932
  82000 , 70637.8 ,156536
  83000 , 71186.1 ,166148
  84000 , 71468.8 ,171920
  85000 , 71943.5 ,174060
  86000 , 71381.7 ,164168
  87000 , 71661.4 ,168340
  88000 , 73257.4 ,157292
  89000 , 74298.4 ,166216
  90000 , 73973   ,170832
  91000 , 74650.3 ,167312
  92000 , 72904.4 ,164300
  93000 , 73953.8 ,168232
  94000 , 72868.4 ,166628
  95000 , 73325.6 ,170624
  96000 , 73748.1 ,168304
  97000 , 72683.8 ,168224
  98000 , 72840.9 ,153904
  99000 , 74611   ,166196
 100000 , 74355.4 ,167840
 101000 , 74017   ,171804
 102000 , 74791.6 ,170808
 103000 , 73846.6 ,166716
 104000 , 75105   ,168240
 105000 , 75301.5 ,166736
 106000 , 76490.3 ,164356
 107000 , 76491.9 ,167600
 108000 , 76907   ,168044
 109000 , 78472.3 ,168004
 110000 , 77653.4 ,168388
 111000 , 76896   ,168360
 112000 , 78612.4 ,168548
 113000 , 77171.3 ,166284
 114000 , 76264.6 ,168252
 115000 , 77612.8 ,171304
 116000 , 79579.4 ,167816
 117000 , 78923.8 ,176912
 118000 , 80811.6 ,168224
 119000 , 77000.6 ,169368
 120000 , 79192.2 ,166496
 121000 , 79026.7 ,165788
 122000 , 79838.1 ,166036
 123000 , 78909.2 ,175568
 124000 , 79922.7 ,163468
 125000 , 80336.9 ,167884
 126000 , 79006.9 ,165780
 127000 , 78875.9 ,166440
 128000 , 80576.6 ,170252
 129000 , 79719.2 ,167660
 130000 , 80999.4 ,163552
 131000 , 80109.4 ,167444
 132000 , 78572.8 ,167448
 133000 , 79957.2 ,164388
 134000 , 79985.6 ,175784
 135000 , 80336.7 ,164172
 136000 , 79677.9 ,167632
 137000 , 81051.8 ,156920
 138000 , 79162.2 ,164332
 139000 , 81904.6 ,171048
 140000 , 81318.6 ,168316
 141000 , 79341.2 ,175244
